nombre_abreviado,tipo1,tipo2,sector,RFOSC,Tipo de organización,forma_org,alcance,alcance_estatal,figura_juridica,centralidad_grado_simple,fortaleza,centralidad_grado_ajustado,centralidad_eigenvalor,centralidad_cercania,centralidad_intermediacion,centralidad_Katz,componente,clustering_local_ponderado,clustering_local,bloque_similaridad_estructural,bloque_similaridad_regular,comunidad_infomap,flujo_en_modulo_infomap,knnw_conectividadProm_colaboradores_(ponderado),knn_conectividadProm_colaboradores
CODUC,CA,NA,CA,Sí,Paraguas,Económico-gremial,nacional,Nacional,Asociación Civil,18,15,16.4316767252,0.000007244,104.4216673934,2285.9166666667,369.3526443855,2,0.6507843137,0.4379084967,1,10,7,0.00900901,23.7777777778,16.2666666667
Colectivo1Dic,FE,JO,FE / JO,No,Discreta,Civil,local,CDMX,Informal,3,1,1.7320508076,2.48521281508596E-07,63.7350390211,0,33.6605978585,2,1,1,8,22,13,0.000600601,9.3333333333,9
ColectivoAzul,EC,NA,EC,No,Discreta,Civil,local,San Luis Potosí,Desconocida,7,1,2.6457513111,1.51466975338792E-09,52.0006877768,0,18.1989889223,2,1,1,2,4,17,0.000600601,10.1428571429,12
ColectivoLabris,LG,MU,LG / MU,No,Discreta,Civil,local,CDMX,Desconocida,9,1,3,3.29170340690197E-11,43.2143466269,0,2.9244456632,2,1,1,3,22,21,0.000600601,9.8888888889,12
Colectivo SEP-SC,SPB,ED,SPB / ED,No,Paraguas,Económico-gremial,local,CDMX,Desconocida,5,1,2.2360679775,2.43988909011135E-09,45.2251190218,0,1.6464655523,2,1,1,2,19,27,0.000600601,5.2,6
ColectivoSolecito,AV,FA,AV / FA,No,Discreta,Civil,local,Veracruz,Desconocida,1,1,1,3.68051497142458E-18,1,0,1.0449320794,13,0,0,,4,,,1,1
ColonosTulpetlac,VE,NA,VE,No,Discreta,Urbano-gremial,local,Estado de México,Asociación Civil,3,1,1.7320508076,9.30543920259705E-06,67.0748487942,0,62.1895506789,2,1,1,4,21,9,0.000600601,14,16
CoMaFHiD,AV,FA,AV / FA,No,Discreta,Civil,local,Chihuahua,Informal,2,2,2,4.90735329523277E-18,2,1,1.0900309344,10,0,0,,4,,,1,1
COMDA,EC,NA,EC,No,Paraguas,Civil,nacional,Nacional,Desconocida,10,2,4.472135955,4.77605939371899E-08,69.59011425,510,34.0397653155,2,0.4444444444,0.5333333333,5,14,17,0.0012012,10.3,25.5
ComunaOax,AP,NA,AP,No,Discreta,Urbano-gremial,local,Oaxaca,Desconocida,7,2,3.7416573868,4.97235167834801E-05,72.5240089124,338.25,79.9145523927,2,0.625,0.5714285714,4,30,8,0.0012012,15.2857142857,32.5
CONACOCI,VE,NA,VE,No,Discreta,Urbano-gremial,local,Guerrero,Asociación Civil,4,1,2,4.41029933712531E-06,67.2499935552,0,93.8383832393,2,1,1,26,26,1,0.000600601,21,146
CONOC,CA,NA,CA,Sí,Paraguas,Económico-gremial,nacional,Nacional,Asociación Civil,7,2,3.7416573868,4.33058292544297E-08,73.7420174656,3,14.4911694111,2,0.625,0.5714285714,4,10,35,0.0012012,6.5714285714,21.5
CONORP,CA,NA,CA,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,3,1,1.7320508076,0.000000056,65.7191274494,0,22.5013447098,2,1,1,25,10,5,0.000600601,12.6666666667,13
ConsejoWixarika,AD,IN,AD / IN,No,Discreta,Indígena,regional,Regional,Desconocida,3,1,1.7320508076,1.65461272304122E-07,69.4290241491,0,17.0089611117,2,1,1,15,29,13,0.000600601,7,9
CONSUCC,CA,NA,CA,Sí,Matriz,Económico-gremial,nacional,Nacional,Asociación Civil,5,2,3.1622776602,4.47861804998967E-07,80.0021508732,0,76.3730326408,2,0.9270833333,0.9,4,10,5,0.0012012,27,37
CooperativasTosepan,IN,CA,IN / CA,Sí,Paraguas,Indígena,local,Puebla,Desconocida,14,2,5.2915026221,1.11186680000687E-05,69.8262091858,55,179.6106501272,2,0.4951923077,0.5054945055,2,16,11,0.0012012,17.5714285714,46.5
CoordUnivApoyoAyotz,ES,NA,ES,No,Discreta,Urbano-gremial,local,Guerrero,Comité Estudiantil,1,1,1,0.000010933,84.8272341872,0,24.7355094295,2,0,0,9,26,1,0.000600601,32,93
COR,SP,NA,SP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,14,1,3.7416573868,9.7555854069197E-06,55.6094970253,0,704.8456056867,2,1,1,2,18,4,0.000600601,34.2142857143,127
CORSOPAL-Mex,SI,NA,SI,No,Paraguas,Civil,internacional,Internacional,Desconocida,1,1,1,7.20916916663975E-09,58.4241176614,0,5.2894181168,2,0,0,27,22,32,0.000600601,6,2
CP,AP,NA,AP,No,Discreta,Urbano-gremial,nacional,Nacional,Informal,5,1,2.2360679775,4.41724269132064E-05,73.8347841837,0,359.8038959463,2,1,1,2,7,4,0.000600601,56.4,113
CPSCDF,VE,NA,VE,No,Paraguas,Urbano-gremial,local,CDMX,Informal,7,3,4.582575695,5.18835343668944E-07,84.5003890442,1103,63.664447982,2,0.2222222222,0.4761904762,7,21,18,0.0018018,13,10
CROC,SP,NA,SP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,7,2,3.7416573868,1.96294131809311E-17,3.6502815399,10,1.3701183497,3,0.4166666667,0.5238095238,,18,,,4.1428571429,3.5
CROM,SP,NA,SP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,19,4,8.7177978871,7.31248386872753E-05,89.2296201882,1.4,831.8142882394,2,0.8408730159,0.7426900585,2,18,4,0.0024024,29.3157894737,39.25
CSDH_MnsrRomero,DD,RL,DD / RL,Sí,Matriz,Civil,local,CDMX,Asociación Civil,5,1,2.2360679775,8.72872054946767E-08,55.3075899929,0,14.3415170281,2,1,1,4,24,8,0.000600601,11.8,18
CSIM,IN,NA,IN,No,Discreta,Indígena,local,Michoacán,Desconocida,4,1,2,0.000040265,69.6119244289,0,79.8936989865,2,1,1,2,29,3,0.000600601,20.5,61
CT,SP,NA,SP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,14,1,3.7416573868,9.75558540690989E-06,55.6094970253,0,704.8456056867,2,1,1,2,18,4,0.000600601,34.2142857143,127
CTC,RP,NA,RP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,2,1,1.4142135624,4.90735329523277E-18,2.7839709209,0,1.1064943459,3,1,1,,18,,,4.5,3
CTM,RP,NA,RP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,2,1,1.4142135624,7.36102994284916E-18,2.7839709209,0,1.1064943459,3,1,1,,18,,,4.5,3
CUL,ES,NA,ES,No,Discreta,Urbano-gremial,local,Michoacán,Comité Estudiantil,4,4,4,7.42202965116702E-05,79.9707319574,351,157.1153036535,2,0.1666666667,0.5,28,7,30,0.0024024,36,18.5
CUTM,SP,NA,SP,No,Matriz,Económico-gremial,nacional,Nacional,Sindical,7,1,2.6457513111,4.63824288548328E-05,67.6689542851,0,296.7145070008,2,1,1,2,12,4,0.000600601,33.5714285714,113
DDESER,MU,DD,MU / DD,No,Matriz,Civil,nacional,Nacional,Desconocida,3,1,1.7320508076,4.90735329523277E-18,1.7320508076,0,1.1481056257,4,1,1,,24,,,3,3
DiálogoParlamOax,MU,NA,MU,Sí,Discreta,Civil,local,Oaxaca,Asociación Civil,4,1,2,2.12243523060603E-07,53.8953153729,0,9.1996258026,2,1,1,4,3,8,0.000600601,7,9
D-III-198-INBAL,SPB,NA,SPB,No,Discreta,Económico-gremial,local,CDMX,Sindical,5,1,2.2360679775,2.43988909992605E-09,45.2251190218,0,1.6464655523,2,1,1,2,19,27,0.000600601,5.2,6
D-III-20_Bibl,SPB,NA,SPB,No,Discreta,Económico-gremial,local,CDMX,Sindical,5,1,2.2360679775,2.4398890950187E-09,45.2251190218,0,1.6464655523,2,1,1,2,19,27,0.000600601,5.2,6
D-III-239-CENART,SPB,NA,SPB,No,Discreta,Económico-gremial,local,CDMX,Sindical,5,1,2.2360679775,2.43988910974076E-09,45.2251190218,0,1.6464655523,2,1,1,2,19,27,0.000600601,5.2,6
D-III-24_INAH,SPB,NA,SPB,No,Discreta,Económico-gremial,local,CDMX,Sindical,5,1,2.2360679775,2.4398890950187E-09,45.2251190218,0,1.6464655523,2,1,1,2,19,27,0.000600601,5.2,6
Diócesis_SnCristóbal,RL,IN,RL / IN,No,Discreta,Indígena,local,Chiapas,Informal,1,5,2.2360679775,3.68051497142458E-18,2.2360679775,0,1.0449320794,14,0,0,,29,,,1,1
DMBMT,ED,SPB,ED / SPB,No,Discreta,Económico-gremial,local,Tlaxcala,Desconocida,2,1,1.4142135624,9.68145863132701E-06,59.7025561104,0,16.1698512689,2,1,1,29,11,20,0.000600601,9,7
EDUCA,2P,NA,2P,Sí,Discreta,Civil,local,Oaxaca,Asociación Civil,4,1,2,2.1224352306551E-07,53.8953153729,0,9.1996258026,2,1,1,4,3,8,0.000600601,7,9
ElCampoEsDeTodos,CA,IN,CA / IN,No,Paraguas,Económico-gremial,nacional,Nacional,Informal,13,3,6.2449979984,0.000000435,75.0558777059,1,149.1059952495,2,0.6826388889,0.6282051282,4,10,5,0.0018018,20.2307692308,54.3333333333
EPC,CS,NA,CS,Sí,Discreta,Urbano-gremial,local,CDMX,Asociación Civil,5,2,3.1622776602,4.63122581100393E-08,69.4963889319,897,18.4734669559,2,0.375,0.4,5,6,14,0.0012012,9.4,21.5
EslabonesPorLaPaz,AV,NA,AV,No,Discreta,Civil,local,CDMX,Desconocida,4,1,2,1.74736047846375E-07,70.0051143857,0,43.6749139157,2,1,1,4,22,8,0.000600601,23.75,65
EvoluciónMexicana,DD,NA,DD,No,Discreta,Civil,local,Nuevo León,Desconocida,2,1,1.4142135624,4.90735329523277E-18,1.4142135624,0,1.0940919037,15,1,1,,5,,,2,2
FAC,CA,NA,CA,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,15,17,15.9687194227,6.60451783224313E-06,104.6847953771,19.9166666667,238.8796167485,2,0.831372549,0.580952381,1,10,7,0.0102102,20.2,11.0588235294
FACMEO,RP,NA,RP,No,Matriz,Civil,local,Oaxaca,Desconocida,1,2,1.4142135624,0.0003883186,97.5087563414,0,63.1826352635,2,0,0,17,27,3,0.0012012,65,25
FALP,RP,NA,RP,No,Paraguas,Civil,local,Oaxaca,Desconocida,4,1,2,4.9615804778936E-05,70.8476992596,0,78.7767271496,2,1,1,4,17,8,0.000600601,24.5,63
FAM,FE,RP,FE / RP,No,Paraguas,Civil,local,Morelos,Desconocida,3,1,1.7320508076,1.71757365333147E-17,1.7320508076,0,1.1481056257,16,1,1,,14,,,3,7
FAO-MSX,AD,NA,AD,No,Paraguas,Civil,local,San Luis Potosí,Desconocida,7,1,2.6457513111,1.51466975338792E-09,52.0006877768,0,18.1989889223,2,1,1,2,14,17,0.000600601,10.1428571429,12
FASU,RP,NA,RP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,21,5,10.246950766,0.0020337004,87.9940479536,2.3333333333,839.0106453092,2,0.6538888889,0.4904761905,2,18,4,0.003003,30.380952381,106.6
FAT,RP,NA,RP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,9,2,4.2426406871,5.83211671652624E-06,75.4132522188,117.5,222.0355974371,2,0.465625,0.4722222222,2,18,18,0.0012012,22.6666666667,32
FCSxM,AP,NA,AP,No,Paraguas,Urbano-gremial,local,Michoacán,Desconocida,6,8,6.9282032303,0.0006937172,107.1207617429,0,87.0939538478,2,0.9466666667,0.8666666667,30,7,3,0.0048048,15.5,8.25
FDAN,SPA,NA,SPA,No,Paraguas,Económico-gremial,nacional,Nacional,Asociación Civil,3,1,1.7320508076,5.09308527987633E-07,62.7640817048,0,105.208186961,2,1,1,2,18,4,0.000600601,18.3333333333,12
FDC,CA,NA,CA,Sí,Discreta,Económico-gremial,local,Chihuahua,Asociación Civil,9,20,13.416407865,1.83969384469094E-06,99.2899214701,78,96.4762829767,2,0.4416666667,0.4444444444,6,13,6,0.012012,17.5555555556,7.9
FDEASER,RP,NA,RP,No,Discreta,Económico-gremial,local,Puebla,Desconocida,7,1,2.6457513111,1.26808125748443E-05,65.5721048537,0,298.1074542736,2,1,1,2,9,11,0.000600601,35.2857142857,74
FDL,DD,NA,DD,No,Discreta,Civil,local,Michoacán,Asociación Civil,1,1,1,4.19450508149072E-09,62.5652767174,0,4.4459083329,2,0,0,19,5,8,0.000600601,16,6
FDOMEZ-FNLS,CT,NA,CT,No,Discreta,Indígena,regional,Regional,Desconocida,1,1,1,0.000000004,59.0987905848,0,2.2621811387,2,0,0,31,29,34,0.000600601,3,2
FDPAS,CA,NA,CA,No,Matriz,Económico-gremial,local,Sinaloa,Asociación Civil,2,1,1.4142135624,0.000000002,59.565126346,0,10.0987708063,2,1,1,1,2,25,0.000600601,11.5,7
FECSM,ES,NA,ES,No,Matriz,Urbano-gremial,nacional,Nacional,Informal,8,23,13.5646599663,0.0002086422,114.8675942164,348,140.2546484009,2,0.8545548654,0.3928571429,32,15,1,0.0138138,18.875,8.0869565217
FeministasCom,MU,NA,MU,No,Discreta,Civil,internacional,Internacional,Informal,9,1,3,3.29170340690197E-11,43.2143466269,0,2.9244456632,2,1,1,3,4,21,0.000600601,9.8888888889,12
FENR-Cd.Juarez,ED,SPB,ED / SPB,No,Discreta,Urbano-gremial,local,Chihuahua,Informal,1,1,1,2.46500592068659E-05,64.3093283395,0,5.7837282663,2,0,0,33,11,10,0.000600601,6,14
FICAM,IN,CA,IN / CA,No,Paraguas,Indígena,nacional,Nacional,Desconocida,25,15,19.364916731,6.67847910762076E-06,113.1512696404,4405.75,329.321183126,2,0.4301421958,0.2766666667,1,16,5,0.00900901,17.92,16.8
FIOAC,CA,NA,CA,No,Discreta,Económico-gremial,local,Hidalgo,Desconocida,10,4,6.3245553203,4.15666763038885E-06,81.8231692441,7.5,202.9647099389,2,0.8958333333,0.8444444444,4,2,7,0.0024024,24.3,37.25
FNF,PX,RL,PX / RL,No,Matriz,Cultural,nacional,Nacional,Desconocida,1,1,1,3.68051497142458E-18,1,0,1.0449320794,17,0,0,,1,,,1,1
FNLS,AP,NA,AP,No,Paraguas,Urbano-gremial,nacional,Nacional,Desconocida,2,3,2.4494897428,4.19569682855795E-09,63.6100922172,351,4.4972236995,2,0,0,19,15,8,0.0018018,8.5,2.6666666667
FO,VE,NA,VE,No,Paraguas,Urbano-gremial,local,Estado de México,Desconocida,3,1,1.7320508076,2.48521281506142E-07,63.7350390211,0,33.6605978585,2,1,1,8,21,13,0.000600601,9.3333333333,9
FOCTEO,FE,NA,FE,No,Paraguas,Civil,local,Oaxaca,Desconocida,3,1,1.7320508076,6.60581589029828E-05,73.637235314,0,74.574993904,2,1,1,21,17,3,0.000600601,27,57
FODEG,RP,NA,RP,No,Paraguas,Civil,local,Guerrero,Desconocida,5,2,3.1622776602,1.0611734463458E-05,77.7369835948,0,103.7396090155,2,1,1,26,17,1,0.0012012,19,88
FPDT,RP,NA,RP,No,Discreta,Civil,regional,Regional,Desconocida,15,7,10.246950766,5.85749023300282E-05,108.6618637328,3152.1666666667,338.28349898,2,0.2789115646,0.2285714286,11,4,13,0.0042042,23.3333333333,27.4285714286
FPDTA-MPT,AD,NA,AD,No,Discreta,Civil,regional,Regional,Desconocida,3,1,1.7320508076,7.93653884437679E-06,69.1574034423,0,32.4703922357,2,1,1,26,4,28,0.000600601,11,39
FPFV,VE,NA,VE,Sí,Paraguas,Urbano-gremial,nacional,Nacional,Asociación Civil,26,10,16.1245154966,1.96627668816214E-05,101.6673344233,3906.75,371.3106261131,2,0.2201142857,0.1846153846,1,15,5,0.00600601,17.6153846154,22.1
FPFVI,VE,NA,VE,No,Paraguas,Urbano-gremial,local,CDMX,Desconocida,9,3,5.1961524227,4.07129448423785E-07,78.7666804772,933,67.0711027101,2,0.25,0.2777777778,13,21,18,0.0018018,13.4444444444,24
FPLZ,RP,NA,RP,Sí,Paraguas,Civil,local,Zacatecas,Asociación Civil,9,6,7.3484692283,1.51033963864509E-05,98.8484244084,1895,159.7258215696,2,0.3666666667,0.3888888889,1,20,15,0.0036036,21.2222222222,19.8333333333
FPR,RP,NA,RP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,13,6,8.8317608663,0.0004104214,99.9419105316,120,190.3635791299,2,0.3900462963,0.2564102564,17,18,3,0.0036036,15,17.6666666667
FP RO,RP,NA,RP,No,Discreta,Civil,local,CDMX,Desconocida,8,2,4,1.33555943168957E-08,62.1033366257,148,23.8027425986,2,0.4285714286,0.4642857143,13,22,18,0.0012012,7.25,7.5
Frayba,DD,NA,DD,No,Discreta,Civil,local,Chiapas,Asociación Civil,8,1,2.8284271247,2.22487679253597E-08,54.820342482,0,38.6541528086,2,1,1,4,5,8,0.000600601,13.625,27
FSM,SP,NA,SP,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,36,5,13.416407865,0.0001052408,87.9067129974,19.8833333333,1425.1300444555,2,0.5535204082,0.4444444444,2,18,4,0.003003,25.8611111111,59
FSPLI,JO,NA,JO,No,Discreta,Urbano-gremial,local,CDMX,Asociación Civil,1,1,1,4.90735329523277E-18,1,0,1.0449320794,18,0,0,,7,,,1,1
FSSP,RP,NA,RP,No,Paraguas,Urbano-gremial,local,Zacatecas,Desconocida,2,1,1.4142135624,6.39054217480346E-08,68.2639719618,0,8.2217453788,2,1,1,1,20,15,0.000600601,5.5,7
FteCívicoTeotihuacán,BC,NA,BC,No,Paraguas,Cultural,local,Estado de México,Desconocida,5,1,2.2360679775,1.22072849180017E-08,56.1738473699,0,20.6147535794,2,1,1,2,1,18,0.000600601,9.2,11
FteContraGpoMex,AD,NA,AD,No,Discreta,Civil,local,Sonora,Desconocida,1,1,1,3.68051497142458E-18,1,0,1.0449320794,19,0,0,,4,,,1,1
FUERSA,SPB,NA,SPB,No,Paraguas,Económico-gremial,local,Guerrero,Desconocida,5,1,2.2360679775,4.94094342060386E-06,71.8024135821,0,129.8497278015,2,1,1,2,23,1,0.000600601,27.2,185
FUL-APPO,RP,NA,RP,No,Paraguas,Civil,local,Oaxaca,Desconocida,3,4,3.4641016151,0.0005850429,102.285479794,0,74.574993904,2,1,1,17,17,3,0.0024024,27,14.5
Fundar,2P,NA,2P,Sí,Discreta,Civil,local,CDMX,Asociación Civil,13,2,5.0990195136,1.67829036950596E-07,65.487721758,44,120.0228628407,2,0.4583333333,0.4615384615,4,3,17,0.0012012,16.0769230769,66.5
FUNDEM,AV,NA,AV,No,Paraguas,Civil,nacional,Nacional,Desconocida,1,1,1,1.87497786906289E-10,47.7595752435,0,2.6668562959,2,0,0,34,14,8,0.000600601,9,2
FUNPEG,ES,NA,ES,No,Matriz,Urbano-gremial,local,Guerrero,Desconocida,6,19,10.677078252,0.0001637165,110.4067853299,0,145.874134637,2,0.9785964912,0.9333333333,32,26,1,0.0114114,25.5,10.6315789474
FUSION,SP,NA,SP,No,Paraguas,Económico-gremial,local,Guerrero,Desconocida,2,1,1.4142135624,9.88089110318132E-05,79.3315818273,0,71.3682691661,2,1,1,21,18,3,0.000600601,39,56
GEA,EC,NA,EC,Sí,Discreta,Civil,local,CDMX,Asociación Civil,4,1,2,1.96140848862487E-08,64.7466222178,0,5.3011926643,2,1,1,4,3,35,0.000600601,6.25,21
GPM,EC,SI,EC / SI,No,Matriz,Civil,nacional,Nacional,Desconocida,4,1,2,1.96140848862487E-08,64.7466222178,0,5.3011926643,2,1,1,4,24,35,0.000600601,6.25,21
¡HastaEncontrarlos!,AV,NA,AV,No,Discreta,Civil,local,CDMX,Desconocida,16,6,9.7979589711,4.97761557878642E-07,78.0367543285,1569.75,80.137403091,2,0.3277777778,0.3666666667,4,22,8,0.0036036,12.25,14.8333333333
HelechoVerde,MU,NA,MU,No,Discreta,Civil,local,CDMX,Desconocida,9,1,3,3.29170438837263E-11,43.2143466269,0,2.9244456632,2,1,1,3,22,21,0.000600601,9.8888888889,12
HIJOS-Mex,AV,NA,AV,No,Discreta,Civil,internacional,Internacional,Desconocida,3,1,1.7320508076,2.43178395772214E-07,60.7187652011,0,7.6939372863,2,1,1,5,4,14,0.000600601,6,7
IPLP,RL,NA,RL,No,Discreta,Matriz religiosa,local,CDMX,Desconocida,4,1,2,4.168669696098E-08,62.6212291132,0,19.4791698311,2,1,1,25,25,36,0.000600601,9.5,13
IVC,CA,NA,CA,No,Paraguas,Económico-gremial,nacional,Nacional,Desconocida,6,1,2.4494897428,1.66516423140854E-07,63.5678530442,0,107.7308567584,2,1,1,4,10,7,0.000600601,25.1666666667,123
JudíosPalestina,SI,NA,SI,No,Discreta,Civil,internacional,Internacional,Desconocida,5,1,2.2360679775,8.55450837560587E-07,69.8036022999,0,99.5358416405,2,1,1,2,22,32,0.000600601,22,39
LasAbejas,IN,NA,IN,No,Discreta,Indígena,local,Chiapas,Sociedad Civil,1,1,1,3.68051497142458E-18,1,0,1.0449320794,20,0,0,,29,,,1,1
LIMEDDH,DD,NA,DD,No,Discreta,Civil,nacional,Nacional,Asociación Civil,4,1,2,4.89516957418962E-05,74.9040676617,0,112.3245686127,2,1,1,4,5,13,0.000600601,26.5,65
LunasLesbianas,LG,MU,LG / MU,No,Discreta,Civil,local,Estado de México,Informal,9,1,3,3.29170438837263E-11,43.2143466269,0,2.9244456632,2,1,1,3,4,21,0.000600601,9.8888888889,12
LUS,AP,NA,AP,No,Matriz,Urbano-gremial,nacional,Nacional,Desconocida,3,1,1.7320508076,1.70107658111145E-07,70.4536326573,0,50.7283623276,2,1,1,7,15,17,0.000600601,19.6666666667,23
MAES,ES,NA,ES,No,Discreta,Urbano-gremial,local,CDMX,Informal,2,2,2,9.84750853418928E-05,81.0785147194,0,69.1772481584,2,1,1,35,7,24,0.0012012,35.5,26.5
MAIZ,CA,IN,CA / IN,Sí,Paraguas,Económico-gremial,nacional,Nacional,Asociación Civil,10,17,13.0384048104,9.22787306187416E-06,112.1357322707,1877,74.9341816397,2,0.4357298475,0.4222222222,36,10,5,0.0102102,15,6.1764705882
MAO-LN,VE,NA,VE,No,Discreta,Urbano-gremial,local,Chiapas,Desconocida,1,1,1,1.22683832380819E-18,1,0,1.0449320794,21,0,0,,7,,,1,1
MAR,ES,NA,ES,No,Discreta,Urbano-gremial,nacional,Nacional,Informal,1,3,1.7320508076,1.87630446482267E-06,70.3043557037,0,7.7559580571,2,0,0,37,7,30,0.0018018,4,1.3333333333
MAS,VE,NA,VE,No,Discreta,Urbano-gremial,local,Puebla,Desconocida,6,1,2.4494897428,1.10202663319253E-05,63.307997273,0,124.444525765,2,1,1,2,7,11,0.000600601,20.3333333333,28
MBMH,ED,SPB,ED / SPB,No,Discreta,Económico-gremial,local,Hidalgo,Desconocida,3,2,2.4494897428,4.77339080939759E-07,71.802205257,351,29.3530497362,2,0.25,0.3333333333,1,11,34,0.0012012,12.3333333333,6.5
MBMT,ED,SPB,ED / SPB,No,Discreta,Económico-gremial,local,Tlaxcala,Desconocida,3,2,2.4494897428,1.95364580850717E-05,78.1096921208,304,62.2903590086,2,0.25,0.3333333333,29,11,20,0.0012012,20.6666666667,12.5
MC_Justicia5Jun,AV,NA,AV,No,Discreta,Civil,local,Sonora,Desconocida,3,1,1.7320508076,2.48521281511049E-07,63.7350390211,0,33.6605978585,2,1,1,8,4,13,0.000600601,9.3333333333,9
MDM-Edomex,ED,SPB,ED / SPB,No,Matriz,Económico-gremial,local,Estado de México,Informal,3,1,1.7320508076,9.3054392025995E-06,67.0748487942,0,62.1895506789,2,1,1,4,28,9,0.000600601,14,16
MDM-Zac,ED,SPB,ED / SPB,No,Discreta,Económico-gremial,local,Zacatecas,Informal,2,1,1.4142135624,3.66196280812156E-07,69.7882429352,0,21.7763926821,2,1,1,22,11,15,0.000600601,13,11
MENA,ES,NA,ES,No,Discreta,Urbano-gremial,local,CDMX,Informal,6,3,4.2426406871,0.0001103971,83.6334710817,159,139.409602208,2,0.3333333333,0.4666666667,21,7,24,0.0018018,22.8333333333,25.6666666667
